Lateral(mm),Vertical(mm),Raw(µm)
0,NaN,NaN
0,NaN,NaN
0.009844379,10,NaN
0.019688757,10,NaN
0.029533137,10,NaN
0.039377514,10,NaN
0.049221892,10,NaN
0.059066273,10,NaN
0.068910651,10,NaN
0.078755029,10,NaN
0.088599406,10,NaN
0.098443784,10,NaN
0.108288161,10,NaN
0.118132547,10,NaN
0.127976924,10,NaN
0.137821302,10,NaN
0.147665679,10,NaN
0.157510057,10,NaN
0.167354435,10,NaN
0.177198812,10,NaN
0.18704319,10,NaN
0.196887568,10,-351.4462813
0.206731945,10,-350.5975116
0.216576323,10,-350.7330565
0.226420701,10,-350.5958237
0.236265093,10,-350.1736493
0.246109471,10,-350.420947
0.255953848,10,-350.213383
0.265798211,10,NaN
0.275642604,10,NaN
0.285486966,10,NaN
0.295331359,10,-349.8899133
0.305175722,10,-350.8713878
0.315020114,10,-349.9656566
0.324864507,10,-349.904703
0.334708869,10,-350.0371399
0.344553262,10,-349.8456516
0.354397625,10,NaN
0.364242017,10,NaN
0.37408638,10,NaN
0.383930773,10,-349.0163871
0.393775135,10,-349.0372052
0.403619528,10,-349.2212986
0.413463891,10,-348.6507188
0.423308283,10,-348.881137
0.433152646,10,-348.824363
0.442997038,10,-348.2034395
0.452841401,10,-348.105217
0.462685794,10,-348.2235341
0.472530186,10,-348.4075472
0.482374549,10,-348.4616419
0.492218941,10,-348.4031531
0.502063334,10,NaN
0.511907697,10,-348.535081
0.521752059,10,NaN
0.531596422,10,NaN
0.541440845,10,NaN
0.551285207,10,NaN
0.56112957,10,-346.321512
0.570973933,10,-346.1899325
0.580818355,10,-345.5766181
0.590662718,10,NaN
0.600507081,10,NaN
0.610351443,10,NaN
0.620195866,10,NaN
0.630040228,10,NaN
0.639884591,10,-345.6390454
0.649729013,10,-345.4198802
0.659573376,10,-345.5988026
0.669417739,10,-346.0306492
0.679262102,10,-346.2153589
0.689106524,10,-346.0840741
0.698950887,10,-346.1927458
0.708795249,10,-345.994854
0.718639612,10,-345.27118
0.728484035,10,-345.04888
0.738328397,10,-345.6281943
0.74817276,10,-345.3048318
0.758017123,10,-344.0510352
0.767861545,10,-344.4990378
0.777705908,10,-344.6983496
0.787550271,10,-345.0213102
0.797394693,10,-345.0737706
0.807239056,10,-345.0370108
0.817083418,10,-344.8412089
0.826927781,10,-345.2363494
0.836772203,10,-344.1647171
0.846616566,10,-344.3906341
0.856460929,10,-344.7032795
0.866305292,10,-343.5559843
0.876149714,10,-343.7217514
0.885994077,10,-342.9845471
0.895838439,10,NaN
0.905682802,10,-344.5181679
0.915527225,10,-344.4018603
0.925371587,10,-344.2497843
0.93521595,10,NaN
0.945060372,10,-344.3376647
0.954904735,10,-343.7999061
0.964749098,10,-343.8596273
0.974593461,10,-343.8946723
0.984437883,10,-343.5598692
0.994282246,10,-343.9636102
1.004126668,10,-343.1530471
1.013970971,10,-342.6690617
1.023815393,10,-342.6615597
1.033659697,10,-342.4771715
1.043504119,10,-342.4965159
1.053348541,10,-342.5347493
1.063192844,10,-342.5733577
1.073037267,10,-342.6462074
1.082881689,10,NaN
1.092725992,10,-342.1424221
1.102570415,10,-341.7131743
1.112414837,10,-341.8154157
1.12225914,10,-341.5370116
1.132103562,10,-343.2533594
1.141947865,10,-342.2176295
1.151792288,10,-341.9707337
1.16163671,10,-342.4760462
1.171481013,10,-341.866724
1.181325436,10,-342.0724928
1.191169858,10,-341.623338
1.201014161,10,-341.7937135
1.210858583,10,-341.5783261
1.220702887,10,-340.9406571
1.230547309,10,-340.9935729
1.240391731,10,-340.9736926
1.250236034,10,-341.0888749
1.260080457,10,-341.2959834
1.269924879,10,-340.8058892
1.279769182,10,-339.9016316
1.289613605,10,-340.3314688
1.299458027,10,NaN
1.30930233,10,NaN
1.319146752,10,NaN
1.328991055,10,NaN
1.338835478,10,NaN
1.3486799,10,NaN
1.358524203,10,NaN
1.368368626,10,NaN
1.378213048,10,NaN
1.388057351,10,NaN
1.397901773,10,NaN
1.407746077,10,NaN
1.417590499,10,NaN
1.427434921,10,NaN
1.437279224,10,NaN
1.447123647,10,NaN
1.456968069,10,NaN
1.466812372,10,NaN
1.476656795,10,NaN
1.486501217,10,NaN
1.49634552,10,NaN
1.506189942,10,NaN
1.516034245,10,NaN
1.525878668,10,NaN
1.53572309,10,NaN
1.545567393,10,NaN
1.555411816,10,NaN
1.565256238,10,NaN
1.575100541,10,NaN
1.584944963,10,NaN
1.594789386,10,NaN
1.604633689,10,NaN
1.614478111,10,NaN
1.624322414,10,NaN
1.634166837,10,NaN
1.644011259,10,NaN
1.653855562,10,NaN
1.663699985,10,NaN
1.673544407,10,NaN
1.68338871,10,NaN
1.693233132,10,NaN
1.703077435,10,NaN
